# Canonical list of SIMUT log codes — see tools/gen_logcodes.py.
# Columns: code, enum, en, js_pt, pt, es   (tab-separated)
#   en     feeds translateCodeEn( ) AND EVT_NAMES_EN; --check asserts both match it
#   js_pt  EVT_NAMES_PT, historically written without accents
#   pt     @LOGCODES of language_pt-BR.lng, with accents
#   es     @LOGCODES of language_es-ES.lng
# Extracted from the five tables with all of them already in agreement.
#
408	APP_NTP_CORRECTING	NTP correcting timestamps	NTP corrigindo timestamps	NTP corrigindo timestamps	NTP corrigiendo timestamps
409	APP_NTP_CORRECTED	Timestamps corrected	Timestamps corrigidos	Timestamps corrigidos	Timestamps corregidos
410	APP_CACHE_INVALIDATED	Graph caches invalidated	Caches de grafico invalidados	Caches de gráfico invalidados	Cachés de gráfico invalidadas
440	APP_UI_THEME_CHANGED	Theme changed via UI	Tema alterado via UI	Tema alterado via UI	Tema cambiado por la UI
441	APP_UI_LANG_CHANGED	Language changed via UI	Idioma alterado via UI	Idioma alterado via UI	Idioma cambiado por la UI
442	APP_UI_ALARM_SAVED	Alarm limits saved via UI	Limites de alarme salvos via UI	Limites de alarme salvos via UI	Límites de alarma guardados por la UI
443	APP_UI_TOUCH_CAL_SAVED	Touch cal saved to flash	Calibracao do touch salva	Calibração do touch salva	Calibración táctil guardada en flash
444	APP_UI_TOUCH_SENS_SAVED	Touch sensitivity saved	Sensibilidade do touch salva	Sensibilidade do touch salva	Sensibilidad táctil guardada
445	APP_UI_PIN_CHANGED	Display PIN changed	PIN do display alterado	PIN do display alterado	PIN de la pantalla cambiado
446	APP_UI_SOUND_SAVED	Sound settings saved	Config de som salva	Config de som salva	Config de sonido guardada
447	APP_UI_ALARM_SILENCED	Alarm silenced via UI	Alarme silenciado via UI	Alarme silenciado via UI	Alarma silenciada por la UI
448	APP_UI_ALARM_SILENCE_EXP	Alarm silence expired	Silenciamento de alarme expirou	Silenciamento de alarme expirou	Silencio de alarma expirado
449	APP_UI_ALARM_DEACTIVATED	All alarms deactivated (RAM)	Todos alarmes desativados (RAM)	Todos alarmes desativados (RAM)	Todas las alarmas desactivadas (RAM)
470	APP_ALARM_TRIGGERED	Alarm triggered	Alarme disparado	Alarme disparado	Alarma disparada
